account_id,client_id,account_type,balance
AKB100166,167,Islamic Financing - Basic,72358.4
AKB100167,168,Takaful Insurance Account,126078.59
AKB100168,169,Real Estate Financing,229379.26
AKB100169,170,Everyday Deposit,57060.03
AKB100170,171,Takaful Insurance Account,102594.41
AKB100171,172,Islamic Financing - Advanced,225461.08
AKB100172,173,Islamic Financing - Basic,77875.69
AKB100173,174,Student,15292.75
AKB100174,175,Real Estate Financing,223324.03
AKB100175,176,Real Estate Financing,153716.85
AKB100176,177,Savings,100604.56
AKB100177,178,Student,16635.06
AKB100178,179,Investment Account,85808.02
AKB100179,180,Savings,140132.03
AKB100180,181,Real Estate Financing,130805.28
AKB100181,182,Savings,145247.31
AKB100182,183,Student,35263.74
AKB100183,184,Islamic Financing - Basic,115190.87
AKB100184,185,Savings,110078.1
AKB100185,186,Takaful Insurance Account,239780.22
AKB100186,187,Takaful Insurance Account,186453.49
AKB100187,188,Takaful Insurance Account,150868.03
AKB100188,189,Savings,72686.87
AKB100189,190,Real Estate Financing,180467.8
AKB100190,191,Investment Account,240279.07
AKB100191,192,E-Banking,98119.87
AKB100192,193,Everyday Deposit,114553.13
AKB100193,194,Student,12966.74
AKB100194,195,Islamic Financing - Basic,118995.23
AKB100195,196,Everyday Deposit,87289.84
AKB100196,197,Savings,118059.11
AKB100197,198,Islamic Financing - Basic,80213.79
AKB100198,199,Takaful Insurance Account,255386.82
AKB100199,200,Real Estate Financing,179364.64
AKB100200,201,Savings,84117.31
AKB100201,202,Savings,99859.04
AKB100202,203,Everyday Deposit,151395.41
AKB100203,204,Everyday Deposit,145870.46
AKB100204,205,Takaful Insurance Account,148984.12
AKB100205,206,Savings,107081.95
AKB100206,207,Student,41573.29
AKB100207,208,Islamic Financing - Basic,106153.82
AKB100208,209,Savings,90683.83
AKB100209,210,Savings,117040.67
AKB100210,211,Savings,83134.39
AKB100211,212,Islamic Financing - Basic,63411.09
AKB100212,213,Real Estate Financing,211401.23
AKB100213,214,Savings,79543.25
AKB100214,215,E-Banking,67986.33
AKB100215,216,Islamic Financing - Basic,157312.43
AKB100216,217,Takaful Insurance Account,315988.25
AKB100217,218,Savings,38716.45
AKB100218,219,Savings,170968.32
AKB100219,220,Savings,62467.22
AKB100220,221,Takaful Insurance Account,143465.45
AKB100221,222,Real Estate Financing,263868.34
AKB100222,223,Takaful Insurance Account,87393.96
AKB100223,224,Everyday Deposit,37864.83
AKB100224,225,Savings,53155.81
AKB100225,226,E-Banking,80155.61
AKB100226,227,Savings,84977.26
AKB100227,228,Investment Account,106193.93
AKB100228,229,Student,29000.66
AKB100229,230,Real Estate Financing,189132.53
AKB100230,231,Takaful Insurance Account,125188.69
AKB100231,232,Everyday Deposit,75647.78
AKB100232,233,Everyday Deposit,35430.77
AKB100233,234,Investment Account,184234.69
AKB100234,235,Savings,90539.58
AKB100235,236,Investment Account,185282.01
AKB100236,237,Everyday Deposit,56794.78
AKB100237,238,Takaful Insurance Account,207409.08
AKB100238,239,E-Banking,90828.07
AKB100239,240,Savings,85685.21
AKB100240,241,Everyday Deposit,73015.66
AKB100241,242,Savings,75607.54
AKB100242,243,Takaful Insurance Account,121199.68
AKB100243,244,Islamic Financing - Basic,62012.05
AKB100244,245,Real Estate Financing,180107.34
AKB100245,246,Takaful Insurance Account,159630.7
AKB100246,247,Takaful Insurance Account,141577.69
AKB100247,248,Agricultural Financing,64442.0
AKB100248,249,Savings,86237.31
AKB100249,250,Investment Account,167724.07
AKB100250,251,Takaful Insurance Account,89811.59
AKB100251,252,Islamic Financing - Basic,138249.58
AKB100252,253,Investment Account,262445.04
AKB100253,254,Student,16126.68
AKB100254,255,Student,17115.42
AKB100255,256,Savings,61237.9
AKB100256,257,Agricultural Financing,79278.05
AKB100257,258,Savings,157444.56
AKB100258,259,Savings,57774.21
AKB100259,260,Islamic Financing - Advanced,221705.47
AKB100260,261,E-Banking,158656.98
AKB100261,262,Real Estate Financing,124178.55
AKB100262,263,E-Banking,52426.27
AKB100263,264,Everyday Deposit,153348.98
AKB100264,265,Everyday Deposit,140944.99
AKB100265,266,Takaful Insurance Account,147865.43
AKB100266,267,E-Banking,83320.05
AKB100267,268,Takaful Insurance Account,196122.03
AKB100268,269,Student,25950.98
AKB100269,270,Student,39246.87
AKB100270,271,Savings,76420.06
AKB100271,272,Takaful Insurance Account,281105.52
AKB100272,273,Investment Account,280847.16
AKB100273,274,Everyday Deposit,42149.79
AKB100274,275,Takaful Insurance Account,252852.56
AKB100275,276,Student,23601.81
AKB100276,277,E-Banking,40606.84
AKB100277,278,Real Estate Financing,338830.06
AKB100278,279,Investment Account,255531.64
AKB100279,280,E-Banking,155113.46
AKB100280,281,Everyday Deposit,38154.72
AKB100281,282,Student,16078.69
AKB100282,283,Student,34084.05
AKB100283,284,Islamic Financing - Advanced,138309.23
AKB100284,285,Student,21380.32
AKB100285,286,Islamic Financing - Advanced,105279.14
AKB100286,287,Takaful Insurance Account,156813.64
AKB100287,288,Agricultural Financing,61987.81
AKB100288,289,Savings,96442.79
AKB100289,290,Student,20959.28
AKB100290,291,Takaful Insurance Account,165622.29
AKB100291,292,Islamic Financing - Advanced,126930.43
AKB100292,293,Real Estate Financing,213427.64
AKB100293,294,E-Banking,25604.56
AKB100294,295,E-Banking,12886.12
AKB100295,296,Savings,111651.87
AKB100296,297,Savings,133763.11
AKB100297,298,Islamic Financing - Basic,83008.35
AKB100298,299,Savings,111248.67
AKB100299,300,Real Estate Financing,244419.84
AKB100300,301,Real Estate Financing,242284.74
AKB100301,302,Islamic Financing - Basic,78514.09
AKB100302,303,E-Banking,113362.17
AKB100303,304,Savings,108541.76
AKB100304,305,Takaful Insurance Account,369612.04
AKB100305,306,Student,38151.81
AKB100306,307,Savings,152821.51
AKB100307,308,Takaful Insurance Account,215805.23
AKB100308,309,Takaful Insurance Account,257745.19
AKB100309,310,Everyday Deposit,49014.79
AKB100310,311,Everyday Deposit,37546.64
AKB100311,312,Takaful Insurance Account,175560.83
AKB100312,313,E-Banking,50330.76
AKB100313,314,Savings,63321.84
AKB100314,315,E-Banking,83543.57
AKB100315,316,Student,17618.61
AKB100316,317,Student,20770.08
AKB100317,318,Islamic Financing - Basic,73023.66
AKB100318,319,Everyday Deposit,82654.19
AKB100319,320,Real Estate Financing,170542.44
AKB100320,321,E-Banking,38256.12
AKB100321,322,Savings,135577.46
AKB100322,323,Takaful Insurance Account,266102.95
AKB100323,324,Investment Account,129507.62
AKB100324,325,Savings,100359.96
AKB100325,326,E-Banking,101824.67
AKB100326,327,Takaful Insurance Account,194701.17
AKB100327,328,Takaful Insurance Account,234729.62
AKB100328,329,Takaful Insurance Account,170332.93
AKB100329,330,Islamic Financing - Advanced,194660.85
AKB100330,331,Student,13376.47
AKB100331,332,Everyday Deposit,39307.37
AKB100332,333,Savings,94550.94
AKB100333,334,Savings,147330.14
AKB100334,335,Everyday Deposit,98144.22
AKB100335,336,Takaful Insurance Account,136169.72
AKB100336,337,Savings,84202.99
AKB100337,338,Student,31965.23
AKB100338,339,E-Banking,115390.46
AKB100339,340,Investment Account,343626.89
AKB100340,341,Savings,50741.04
AKB100341,342,Real Estate Financing,341783.44
AKB100342,343,Islamic Financing - Advanced,176004.0
AKB100343,344,Student,23405.63
AKB100344,345,Investment Account,270318.29
AKB100345,346,Student,58373.41
AKB100346,347,Real Estate Financing,195191.64
AKB100347,348,Savings,149511.63
AKB100348,349,Real Estate Financing,427557.26
AKB100349,350,Savings,81932.29
AKB100350,351,Islamic Financing - Basic,62344.64
AKB100351,352,E-Banking,120132.87
AKB100352,353,Real Estate Financing,206239.69
AKB100353,354,Student,29722.2
AKB100354,355,Takaful Insurance Account,159980.16
AKB100355,356,E-Banking,29993.69
AKB100356,357,Investment Account,220581.87
AKB100357,358,Savings,88171.45
AKB100358,359,Student,20359.54
AKB100359,360,E-Banking,72605.75
AKB100360,361,E-Banking,41772.05
AKB100361,362,Savings,89404.17
AKB100362,363,Student,16930.98
AKB100363,364,Takaful Insurance Account,229558.64
AKB100364,365,Student,69013.67
AKB100365,366,Takaful Insurance Account,209455.75
AKB100366,367,Savings,119022.08
AKB100367,368,Savings,73276.6
AKB100368,369,E-Banking,64625.19
AKB100369,370,Real Estate Financing,148505.95
AKB100370,371,Everyday Deposit,78572.13
AKB100371,372,Student,14349.07
AKB100372,373,Savings,77638.29
AKB100373,374,Takaful Insurance Account,89610.09
AKB100374,375,Agricultural Financing,138250.13
AKB100375,376,Student,15945.33
AKB100376,377,Investment Account,230299.55
AKB100377,378,Investment Account,381774.33
AKB100378,379,Real Estate Financing,165115.92
AKB100379,380,Student,31947.9
AKB100380,381,E-Banking,69690.94
AKB100381,382,Islamic Financing - Basic,207113.28
AKB100382,383,Takaful Insurance Account,206679.66
AKB100383,384,Islamic Financing - Basic,109882.36
AKB100384,385,Savings,124818.66
AKB100385,386,Savings,94949.87
AKB100386,387,Savings,51972.26
AKB100387,388,Investment Account,236639.13
AKB100388,389,Savings,163038.43
AKB100389,390,Savings,103018.11
AKB100390,391,Islamic Financing - Advanced,185984.04
AKB100391,392,Savings,77179.5
AKB100392,393,Savings,82966.88
AKB100393,394,Savings,94713.1
AKB100394,395,Takaful Insurance Account,141433.13
AKB100395,396,Everyday Deposit,117361.5
AKB100396,397,Islamic Financing - Basic,203351.27
AKB100397,398,Savings,64257.17
AKB100398,399,Investment Account,310318.17
AKB100399,400,Everyday Deposit,89508.63
AKB100400,401,Real Estate Financing,333647.8
AKB100401,402,Investment Account,251619.52
AKB100402,403,E-Banking,107915.2
AKB100403,404,Everyday Deposit,113691.97
AKB100404,405,Savings,130347.63
AKB100405,406,Investment Account,297186.66
AKB100406,407,Savings,75749.86
AKB100407,408,E-Banking,97732.38
AKB100408,409,Investment Account,185455.0
AKB100409,410,Everyday Deposit,97863.69
AKB100410,411,Savings,57631.07
AKB100411,412,Takaful Insurance Account,185731.99
AKB100412,413,Everyday Deposit,78983.06
AKB100413,414,Savings,68458.26
AKB100414,415,Savings,124198.91
AKB100415,416,Savings,130992.28
AKB100416,417,E-Banking,106332.15
AKB100417,418,Student,26521.02
AKB100418,419,Savings,80503.25
AKB100419,420,Student,80800.59
AKB100420,421,Savings,104713.61
AKB100421,422,E-Banking,52404.03
AKB100422,423,Student,13445.8
AKB100423,424,Student,23822.58
AKB100424,425,Student,42149.01
AKB100425,426,Student,32103.87
AKB100426,427,Real Estate Financing,154089.13
AKB100427,428,Everyday Deposit,32971.51
AKB100428,429,Agricultural Financing,106086.55
AKB100429,430,Savings,114489.75
AKB100430,431,Investment Account,169475.76
AKB100431,432,Islamic Financing - Basic,52995.84
AKB100432,433,Investment Account,225809.89
AKB100433,434,Real Estate Financing,242352.61
AKB100434,435,Savings,122729.4
AKB100435,436,Savings,134749.72
AKB100436,437,Savings,82278.28
AKB100437,438,Investment Account,311214.62
AKB100438,439,Everyday Deposit,79463.18
AKB100439,440,Islamic Financing - Advanced,152146.12
AKB100440,441,Everyday Deposit,66068.3
AKB100441,442,Islamic Financing - Basic,92274.18
AKB100442,443,Savings,76332.76
AKB100443,444,Savings,63550.11
AKB100444,445,Real Estate Financing,173306.77
AKB100445,446,Student,13968.48
AKB100446,447,Everyday Deposit,99791.14
AKB100447,448,E-Banking,34913.51
AKB100448,449,Islamic Financing - Basic,178851.17
AKB100449,450,Islamic Financing - Advanced,133160.45
AKB100450,451,Everyday Deposit,122752.63
AKB100451,452,Savings,140740.31
AKB100452,453,Takaful Insurance Account,162030.65
AKB100453,454,Takaful Insurance Account,104610.11
AKB100454,455,Savings,98705.24
AKB100455,456,Everyday Deposit,120816.26
AKB100456,457,Takaful Insurance Account,168552.4
AKB100457,458,Savings,77882.27
AKB100458,459,E-Banking,79307.75
AKB100459,460,Savings,136217.08
AKB100460,461,Islamic Financing - Basic,122051.78
AKB100461,462,Student,22707.42
AKB100462,463,Takaful Insurance Account,265720.63
AKB100463,464,Investment Account,156889.5
AKB100464,465,Real Estate Financing,177651.78
AKB100465,466,Everyday Deposit,43667.57
AKB100466,467,Savings,88948.4
AKB100467,468,Real Estate Financing,254289.02
AKB100468,469,Everyday Deposit,52067.69
AKB100469,470,Everyday Deposit,61648.97
AKB100470,471,Investment Account,239147.39
AKB100471,472,Everyday Deposit,92127.34
AKB100472,473,Savings,143196.1
AKB100473,474,Everyday Deposit,60066.06
AKB100474,475,Everyday Deposit,42009.96
AKB100475,476,Everyday Deposit,54423.99
AKB100476,477,Student,28356.35
AKB100477,478,Takaful Insurance Account,169466.27
AKB100478,479,Everyday Deposit,46280.42
AKB100479,480,E-Banking,67628.57
AKB100480,481,Savings,126205.3
AKB100481,482,Everyday Deposit,61055.97
AKB100482,483,Savings,57819.18
AKB100483,484,Everyday Deposit,53017.36
AKB100484,485,Islamic Financing - Basic,78553.23
AKB100485,486,Investment Account,116304.24
AKB100486,487,Student,30946.57
AKB100487,488,Islamic Financing - Basic,155448.17
AKB100488,489,Savings,206564.54
AKB100489,490,E-Banking,73460.3
AKB100490,491,Savings,84476.55
AKB100491,492,Everyday Deposit,28976.24
AKB100492,493,Student,22126.61
AKB100493,494,E-Banking,56178.98
AKB100494,495,Everyday Deposit,117457.31
AKB100495,496,E-Banking,108423.19
AKB100496,497,E-Banking,78223.85
AKB100497,498,Takaful Insurance Account,217104.72
AKB100498,499,Savings,135154.91
AKB100499,500,Everyday Deposit,23011.86
AKB100500,501,Investment Account,156883.58
AKB100501,502,Takaful Insurance Account,143934.91
AKB100502,503,Savings,93946.91
AKB100503,504,Savings,40876.53
AKB100504,505,Islamic Financing - Advanced,284442.75
AKB100505,506,Savings,102219.25
AKB100506,507,Takaful Insurance Account,155295.76
AKB100507,508,Savings,160090.82
AKB100508,509,Investment Account,234840.43
AKB100509,510,Takaful Insurance Account,136003.03
AKB100510,511,Savings,143830.7
AKB100511,512,Student,31221.37
AKB100512,513,Real Estate Financing,150888.98
AKB100513,514,Takaful Insurance Account,288364.18
AKB100514,515,Takaful Insurance Account,184509.2
AKB100515,516,Student,32973.42
AKB100516,517,Savings,95108.26
AKB100517,518,Savings,113064.85
AKB100518,519,Real Estate Financing,191976.63
AKB100519,520,Agricultural Financing,175003.64
AKB100520,521,Islamic Financing - Advanced,326836.5
AKB100521,522,Takaful Insurance Account,90500.11
AKB100522,523,Student,23261.73
AKB100523,524,E-Banking,106007.09
AKB100524,525,Islamic Financing - Basic,110660.04
AKB100525,526,Takaful Insurance Account,179002.75
AKB100526,527,Student,15420.32
AKB100527,528,Investment Account,162144.2
AKB100528,529,Savings,165888.03
AKB100529,530,Real Estate Financing,263563.34
AKB100530,531,Investment Account,181664.54
AKB100531,532,Savings,79105.55
AKB100532,533,Student,38813.24
AKB100533,534,Investment Account,336478.2
AKB100534,535,Takaful Insurance Account,241488.24
AKB100535,536,Savings,79390.24
AKB100536,537,Student,13440.2
AKB100537,538,Takaful Insurance Account,152072.89
AKB100538,539,E-Banking,57327.01
AKB100539,540,Savings,89168.63
AKB100540,541,Savings,55807.2
AKB100541,542,Investment Account,300755.33
AKB100542,543,Everyday Deposit,39060.3
AKB100543,544,Agricultural Financing,164521.47
AKB100544,545,Islamic Financing - Basic,150719.23
AKB100545,546,Savings,101726.89
AKB100546,547,Islamic Financing - Basic,87039.12
AKB100547,548,Savings,55079.83
AKB100548,549,Student,19293.78
AKB100549,550,Takaful Insurance Account,323442.36
AKB100550,551,Savings,117157.25
AKB100551,552,Takaful Insurance Account,116730.67
AKB100552,553,Savings,157170.33
AKB100553,554,Savings,66741.34
AKB100554,555,Student,29484.82
AKB100555,556,Savings,73894.71
AKB100556,557,Everyday Deposit,68436.84
AKB100557,558,Investment Account,198346.65
AKB100558,559,Student,17001.69
AKB100559,560,Investment Account,263817.93
AKB100560,561,Savings,140650.05
AKB100561,562,Islamic Financing - Basic,125684.45
AKB100562,563,Savings,72576.35
AKB100563,564,Takaful Insurance Account,256740.12
AKB100564,565,Takaful Insurance Account,225149.13
AKB100565,566,Everyday Deposit,77160.66
AKB100566,567,Student,13774.71
AKB100567,568,Takaful Insurance Account,174252.6
AKB100568,569,Islamic Financing - Advanced,181972.4
AKB100569,570,Student,14127.23
AKB100570,571,Investment Account,149779.48
AKB100571,572,Savings,71013.23
AKB100572,573,Savings,87771.0
AKB100573,574,Savings,75268.25
AKB100574,575,Savings,157555.86
AKB100575,576,Savings,91026.14
AKB100576,577,Savings,56158.86
AKB100577,578,Investment Account,109292.91
AKB100578,579,Savings,124612.02
AKB100579,580,Savings,81842.49
AKB100580,581,Investment Account,148967.34
AKB100581,582,Savings,64818.47
AKB100582,583,Takaful Insurance Account,106439.51
AKB100583,584,Savings,78738.3
AKB100584,585,Savings,58570.9
AKB100585,586,E-Banking,79487.37
AKB100586,587,Savings,62020.87
AKB100587,588,Everyday Deposit,36059.86
AKB100588,589,Takaful Insurance Account,282548.8
AKB100589,590,Student,48114.93
AKB100590,591,Islamic Financing - Advanced,142889.07
AKB100591,592,E-Banking,51728.88
AKB100592,593,Savings,52736.68
AKB100593,594,Agricultural Financing,83387.48
AKB100594,595,Savings,133638.76
AKB100595,596,Everyday Deposit,23253.71
AKB100596,597,Takaful Insurance Account,228356.37
AKB100597,598,Student,11367.17
AKB100598,599,Takaful Insurance Account,193185.96
AKB100599,600,Everyday Deposit,80123.32
AKB100600,601,Takaful Insurance Account,160806.5
AKB100601,602,Takaful Insurance Account,110259.96
AKB100602,603,Islamic Financing - Basic,159389.67
AKB100603,604,Everyday Deposit,76061.64
AKB100604,605,Takaful Insurance Account,230711.88
AKB100605,606,Savings,109442.55
AKB100606,607,Student,16863.2
AKB100607,608,Investment Account,388831.8
AKB100608,609,Everyday Deposit,91851.01
AKB100609,610,Takaful Insurance Account,220827.27
AKB100610,611,Savings,88826.73
AKB100611,612,Savings,69177.72
AKB100612,613,Everyday Deposit,28407.18
AKB100613,614,Real Estate Financing,161982.43
AKB100614,615,Student,14584.71
AKB100615,616,Savings,116291.91
AKB100616,617,Agricultural Financing,115676.78
AKB100617,618,Everyday Deposit,58150.83
AKB100618,619,Takaful Insurance Account,119100.78
AKB100619,620,Islamic Financing - Basic,102745.99
AKB100620,621,Student,23720.47
AKB100621,622,Takaful Insurance Account,97648.03
AKB100622,623,Student,21187.2
AKB100623,624,Takaful Insurance Account,264641.66
AKB100624,625,Student,64462.13
AKB100625,626,Takaful Insurance Account,197525.37
AKB100626,627,Real Estate Financing,249684.27
AKB100627,628,Savings,134325.33
AKB100628,629,Islamic Financing - Basic,89655.9
AKB100629,630,Takaful Insurance Account,178770.0
AKB100630,631,Investment Account,223184.32
AKB100631,632,Islamic Financing - Advanced,122029.36
AKB100632,633,Islamic Financing - Advanced,177142.87
AKB100633,634,Everyday Deposit,31978.25
AKB100634,635,Everyday Deposit,59902.73
AKB100635,636,Student,29006.49
AKB100636,637,Student,23739.01
AKB100637,638,Savings,91552.11
AKB100638,639,Student,15435.87
AKB100639,640,Real Estate Financing,246157.25
AKB100640,641,Investment Account,112105.55
AKB100641,642,Everyday Deposit,166661.76
AKB100642,643,Everyday Deposit,18220.84
AKB100643,644,Everyday Deposit,37391.63
AKB100644,645,Everyday Deposit,56388.56
AKB100645,646,Student,42769.79
AKB100646,647,Savings,92111.77
AKB100647,648,E-Banking,69436.43
AKB100648,649,Real Estate Financing,267963.37
AKB100649,650,E-Banking,49142.36
AKB100650,651,Takaful Insurance Account,142243.88
AKB100651,652,E-Banking,31611.07
AKB100652,653,Takaful Insurance Account,233341.97
AKB100653,654,Student,27347.16
AKB100654,655,Real Estate Financing,210081.25
AKB100655,656,Savings,132316.1
AKB100656,657,E-Banking,85559.42
AKB100657,658,Takaful Insurance Account,175852.77
AKB100658,659,Savings,71610.59
AKB100659,660,Islamic Financing - Advanced,239231.91
AKB100660,661,Everyday Deposit,22038.76
AKB100661,662,Islamic Financing - Advanced,192838.11
AKB100662,663,E-Banking,110907.86
AKB100663,664,Student,22061.72
AKB100664,665,Islamic Financing - Basic,49680.19
AKB100665,666,Islamic Financing - Basic,81962.99
AKB100666,667,Takaful Insurance Account,152196.67
AKB100667,668,E-Banking,87056.76
AKB100668,669,Takaful Insurance Account,165562.46
AKB100669,670,Investment Account,427007.56
AKB100670,671,Takaful Insurance Account,131559.36
AKB100671,672,Student,16486.43
AKB100672,673,Islamic Financing - Basic,120223.9
AKB100673,674,Real Estate Financing,214129.17
AKB100674,675,Savings,62602.73
AKB100675,676,Student,48327.44
AKB100676,677,Student,17540.9
AKB100677,678,Student,27827.98
AKB100678,679,Islamic Financing - Basic,112073.49
AKB100679,680,Islamic Financing - Basic,157569.12
AKB100680,681,Islamic Financing - Advanced,156523.77
AKB100681,682,Real Estate Financing,255645.26
AKB100682,683,Everyday Deposit,44348.31
AKB100683,684,Savings,146003.73
AKB100684,685,Islamic Financing - Advanced,150854.54
AKB100685,686,Takaful Insurance Account,136639.42
AKB100686,687,Savings,131996.45
AKB100687,688,Takaful Insurance Account,238319.95
AKB100688,689,Real Estate Financing,210800.21
AKB100689,690,Agricultural Financing,97746.62
